month,Norfolk Island,New Zealand,New Caledonia,Papua New Guinea,Vanuatu,Cook Islands,Fiji,French Polynesia,Samoa,Tonga,Other Oceania and Antarctica,Total Oceania and Antarctica,UK,Ireland,Austria,France,Germany,Netherlands,Switzerland,Sweden,Other North-West Europe,Total North-West Europe,Italy,Spain,Croatia,Greece,Poland,Other Southern and Eastern Europe,Total Southern and Eastern Europe,Egypt,Israel,Lebanon,Turkey,United Arab Emirates,Other North Africa and the Middle East,Total North Africa and the Middle East,Cambodia,Thailand,Vietnam,Indonesia,Malaysia,Philippines,Singapore,Timor-Leste,Other South-East Asia,Total South-East Asia,China,Hong Kong,Taiwan,Japan,"Korea, South",Other North-East Asia,Total North-East Asia,India,Nepal,Pakistan,Sri Lanka,Other Southern and Central Asia,Total Southern and Central Asia,Canada,United States of America,Argentina,Brazil,Chile,Mexico,Other Americas,Total Americas,Mauritius,South Africa,Other Sub-Saharan Africa,Total Sub-Saharan Africa
Jan-1991,1100,23800,1300,3100,1200,200,7800,200,200,200,1000,40000,8600,400,400,1000,1800,500,800,200,500,14300,1200,100,0,600,100,900,2900,100,100,100,100,0,200,500,100,4800,900,11800,5300,2300,6700,0,200,32100,500,7400,1100,3000,400,0,12400,2000,500,100,600,200,3500,1200,17900,300,200,500,100,500,20700,0,400,400,900
Feb-1991,1200,27000,700,2500,800,300,5300,200,100,100,600,38800,11900,500,500,1000,1700,500,500,300,400,17400,1400,200,0,900,100,1000,3700,100,200,100,100,0,200,700,0,4900,1100,9300,4800,2500,6200,0,100,29000,900,8700,1000,2200,500,0,13300,800,100,0,300,100,1300,1600,16400,100,200,300,100,400,19000,200,700,700,1500
Mar-1991,1500,30300,1500,3400,2100,200,8200,200,400,200,600,48700,18500,800,500,1900,2300,800,600,200,500,26100,2200,600,0,1900,300,2100,7100,200,400,400,300,0,300,1700,0,5500,800,13200,4400,4100,9200,0,200,37500,1000,13800,1000,4300,600,0,20700,1500,100,200,500,200,2500,1600,22700,400,100,200,100,200,25300,100,900,300,1300
Apr-1991,1700,21800,1000,3400,1400,100,6000,700,300,200,900,37400,22700,700,600,2100,3300,1500,900,500,500,32900,3100,400,0,2600,600,2300,9000,400,500,900,300,0,600,2700,0,5600,500,12300,4700,3900,7000,0,300,34300,1500,10400,1300,3700,600,0,17600,1400,200,100,500,100,2300,1800,25800,300,200,200,100,300,28700,100,600,900,1500
May-1991,1400,20500,1000,2800,1100,400,4400,200,600,200,700,33300,23000,900,600,2000,3200,1900,1000,500,900,34000,4000,400,0,3500,800,3700,12500,200,500,1100,1000,0,600,3300,100,4500,500,11100,4600,2900,6500,0,300,30400,1200,8500,1200,4400,900,0,16200,1000,0,0,400,100,1600,3000,27100,400,0,200,100,200,31000,0,600,600,1200
Jun-1991,1400,20900,1600,3600,1700,300,7800,200,400,300,900,39000,24000,1600,600,2200,3500,1500,1000,800,1400,36600,5300,600,0,3900,800,5600,16200,600,400,2100,1200,0,700,5000,0,7200,1000,17500,6200,3100,8800,0,300,44000,1600,10600,1500,4300,700,0,18800,1000,0,200,700,100,2000,3800,32700,100,0,200,100,200,37000,100,600,700,1400
Jul-1991,900,24100,1600,3100,1700,400,8700,300,400,300,800,42100,22100,1400,700,2000,2900,1900,700,500,1100,33300,5300,800,0,4300,900,4000,15100,200,300,1700,500,0,700,3500,0,5900,700,19500,6100,2600,8200,0,400,43500,1200,8900,1500,3300,400,0,15300,700,100,100,800,300,1900,3500,27000,200,200,300,200,200,31400,0,900,1000,1900
Aug-1991,1000,26600,1500,2800,1400,300,8100,300,200,200,800,43100,20100,900,600,2100,3000,1400,600,400,400,29400,4000,500,0,2600,300,2300,9800,300,400,1400,600,100,500,3200,0,4600,800,15800,4800,2600,6200,0,300,35100,1100,10100,1100,2700,1000,0,16000,1100,0,100,400,100,1700,2800,23900,400,100,200,100,200,27600,100,200,1000,1300
Sep-1991,1500,29000,2500,3500,1600,600,8600,300,400,300,800,49200,19300,900,600,2500,3000,900,900,400,400,28900,3500,600,0,1900,300,1500,7700,500,400,1100,300,200,800,3200,0,6600,400,19200,7400,3000,9200,0,200,46000,1700,13100,1700,5700,800,100,23200,2300,500,200,700,100,3900,2900,33800,500,200,200,200,300,38100,100,700,900,1700
Oct-1991,1700,26700,1700,2700,2100,500,8900,400,200,300,600,45700,15100,500,200,1900,2200,1000,500,200,300,22000,1900,500,0,1400,200,1400,5500,300,500,700,400,100,400,2400,100,7000,400,16400,5200,2800,10800,0,200,43000,1300,10100,1200,4300,900,200,18000,1300,500,200,400,200,2500,1500,26100,300,200,300,0,300,28800,0,600,600,1200
