country,latitude,longitude
Norfolk Island,-29.023064,167.939597
New Zealand,-40.900557,174.885971
New Caledonia,-20.904305,165.618042
Papua New Guinea,-6.314993,143.95555
Vanuatu,-15.376706,166.959158
Cook Islands,-21.236736,-159.777671
Fiji,-17.713371,178.065032
French Polynesia,-17.679742,-149.406843
Samoa,-13.759029,-172.104629
Tonga,-21.178986,-175.198242
Other Oceania and Antarctica,,
Total Oceania and Antarctica,,
"UK,  CIs & IOM",,
Ireland,53.41291,-8.24389
Austria,47.516231,14.550072
France,46.227638,2.213749
Germany,51.165691,10.451526
Netherlands,52.132633,5.291266
Switzerland,46.818188,8.227512
Sweden,60.128161,18.643501
Other North-West Europe,51.08,-2.88
Total North-West Europe,59.98456,23.594753
Italy,41.87194,12.56738
Spain,40.463667,-3.74922
Croatia,45.1,15.2
Greece,39.074208,21.824312
Poland,51.919438,19.145136
Other Southern and Eastern Europe,52.005515,37.958749
Total Southern and Eastern Europe,52.005515,37.958749
Egypt,26.820553,30.802498
Israel,31.046051,34.851612
Lebanon,33.854721,35.862285
Turkey,38.963745,35.243322
United Arab Emirates,23.424076,53.847818
Other North Africa and the Middle East,29.298528,42.55096
Total North Africa and the Middle East,29.298528,42.55096
Cambodia,12.565679,104.990963
Thailand,15.870032,100.992541
Vietnam,14.058324,108.277199
Indonesia,-0.789275,113.921327
Malaysia,4.210484,101.975766
Philippines,12.879721,121.774017
Singapore,1.352083,103.819836
Timor-Leste,-8.874217,125.727539
Other South-East Asia,34.708893,135.620559
Total South-East Asia,35.527438,133.204931
China,35.86166,104.195397
Hong Kong,22.396428,114.109497
Taiwan,23.69781,120.960515
Japan,36.204824,138.252924
"Korea, South",35.907757,127.766922
Other North-East Asia,34.708893,135.620559
Total North-East Asia,35.527438,133.204931
India,20.593684,78.96288
Nepal,28.394857,84.124008
Pakistan,30.375321,69.345116
Sri Lanka,7.873054,80.771797
Other Southern and Central Asia,,
Total Southern and Central Asia,,
Canada,56.130366,-106.346771
United States of America,37.09024,-95.712891
Argentina,-38.416097,-63.616672
Brazil,-14.235004,-51.92528
Chile,-35.675147,-71.542969
Mexico,23.634501,-102.552784
Other Americas,,
Total Americas,-19.987143,-43.860736
Mauritius,-20.348404,57.552152
South Africa,-30.559482,22.937506
Other Sub-Saharan Africa,,
Total Sub-Saharan Africa,,
Total (Country of stay/residence),,
